"Date","Price","Open","High","Low","Vol.","Change %"
"01-12-2025","9.4750","11.6175","12.0100","8.8625","","-18.44%"
"01-11-2025","11.6175","12.1525","13.8500","10.7650","","-4.40%"
"01-10-2025","12.1525","11.0650","12.7275","9.6575","","9.83%"
"01-09-2025","11.0650","11.7525","12.1950","9.3975","","-5.85%"
"01-08-2025","11.7525","11.5425","13.4650","10.0875","","1.82%"
"01-07-2025","11.5425","12.7850","12.9925","9.8675","","-9.72%"
"01-06-2025","12.7850","16.0775","17.7275","12.3225","","-20.48%"
"01-05-2025","16.0775","18.2225","22.7475","15.2875","","-11.77%"
"01-04-2025","18.2225","12.7175","23.1875","12.7175","","43.29%"
"01-03-2025","12.7175","13.9100","14.5025","10.6950","","-8.57%"
"01-02-2025","13.9100","16.2475","16.5800","12.0825","","-14.39%"
"01-01-2025","16.2475","14.4475","19.0100","13.2250","0.02K","12.46%"
"01-12-2024","14.4475","14.4250","16.8825","12.4700","0.02K","0.16%"
"01-11-2024","14.4250","15.5500","20.7500","12.7325","0.01K","-7.23%"
"01-10-2024","15.5500","12.7875","16.2400","9.4700","","21.60%"
"01-09-2024","12.7875","13.3925","15.6725","8.9800","","-4.52%"
"01-08-2024","13.3925","13.2500","23.1525","10.8400","","1.08%"
"01-07-2024","13.2500","13.8025","16.0650","11.2750","","-4.00%"
"01-06-2024","13.8025","24.6025","31.7100","11.6300","","-43.90%"
"01-05-2024","24.6025","12.8700","26.1950","12.8700","","91.16%"
"01-04-2024","12.8700","12.8325","14.4125","9.8575","","0.29%"
"01-03-2024","12.8325","15.5725","15.6425","11.8100","","-17.60%"
"01-02-2024","15.5725","16.0475","16.7400","13.7000","","-2.96%"
"01-01-2024","16.0475","14.5025","16.5750","11.7875","","10.65%"
"01-12-2023","14.5025","12.6900","16.4700","10.8000","","14.28%"
"01-11-2023","12.6900","11.8250","14.4600","8.3950","","7.32%"
"01-10-2023","11.8250","11.4525","12.7000","8.8250","","3.25%"
"01-09-2023","11.4525","12.0625","13.0225","9.2475","","-5.06%"
"01-08-2023","12.0625","10.4125","12.7550","9.5000","","15.85%"
"01-07-2023","10.4125","10.8000","12.2550","9.8575","","-3.59%"
"01-06-2023","10.8000","11.9725","11.9725","9.6375","","-9.79%"
"01-05-2023","11.9725","10.9475","13.7400","8.1825","","9.36%"
"01-04-2023","10.9475","12.9350","13.4900","10.7875","","-15.37%"
"01-03-2023","12.9350","14.0200","17.3550","11.1000","","-7.74%"
"01-02-2023","14.0200","16.8750","18.5400","10.1725","","-16.92%"
"01-01-2023","16.8750","14.8675","19.3900","11.6425","","13.50%"
"01-12-2022","14.8675","13.8075","17.2300","11.4325","","7.68%"
