# India Financial Stress Index (India-FSI)
# Authors: Aswini Kumar Mishra, Nishad Kotkar, and Atharva Singh Rathore
# Citation: 'Macro-Financial Shocks and Search Sentiment: A New Financial Stress Index for India', Finance Research Letters (2026).
# Hosted by: Economic Policy Uncertainty (EPU) - https://www.policyuncertainty.com
# Last Updated: 2026-09-23
# Frequency: Monthly
Date,India_FSI
2006-07-01,-57.1564
2006-08-01,-59.4835
2006-09-01,-62.7408
2006-10-01,-52.8826
2006-11-01,-56.5182
2006-12-01,-51.8272
2007-01-01,-51.2785
2007-02-01,-66.7391
2007-03-01,-59.4264
2007-04-01,-40.6157
2007-05-01,-60.1832
2007-06-01,-37.0579
2007-07-01,-40.408
2007-08-01,-22.0762
2007-09-01,-29.6886
2007-10-01,-25.7992
2007-11-01,-39.5021
2007-12-01,-38.6276
2008-01-01,-13.1779
2008-02-01,-14.9508
2008-03-01,-12.857
2008-04-01,-19.1604
2008-05-01,-51.8535
2008-06-01,-30.5632
2008-07-01,11.8457
2008-08-01,-10.7632
2008-09-01,122.2133
2008-10-01,157.4547
2008-11-01,103.7624
2008-12-01,97.8536
2009-01-01,113.9649
2009-02-01,75.7234
2009-03-01,72.5783
2009-04-01,87.79
2009-05-01,87.7982
2009-06-01,78.1392
2009-07-01,59.7166
2009-08-01,66.8891
2009-09-01,50.8141
2009-10-01,52.4206
2009-11-01,78.2564
2009-12-01,73.8356
2010-01-01,38.5346
2010-02-01,2.1532
2010-03-01,44.4104
2010-04-01,50.9324
2010-05-01,127.1094
2010-06-01,41.6135
2010-07-01,21.3316
2010-08-01,30.0805
2010-09-01,33.387
2010-10-01,8.5271
2010-11-01,16.1338
2010-12-01,-1.9733
2011-01-01,4.7535
2011-02-01,-3.8949
2011-03-01,-7.1105
2011-04-01,0.9792
2011-05-01,2.6483
2011-06-01,23.5868
2011-07-01,35.076
2011-08-01,67.3438
2011-09-01,30.2779
2011-10-01,78.6932
2011-11-01,57.5312
2011-12-01,17.6513
2012-01-01,14.7847
2012-02-01,13.7843
2012-03-01,13.2597
2012-04-01,-4.49
2012-05-01,-0.9853
2012-06-01,-28.4606
2012-07-01,-11.0369
2012-08-01,-13.153
2012-09-01,-13.8394
2012-10-01,-4.7646
2012-11-01,-21.7785
2012-12-01,-19.0477
2013-01-01,-6.3348
2013-02-01,-24.4155
2013-03-01,-4.25
2013-04-01,26.2951
2013-05-01,-3.6675
2013-06-01,-24.9262
2013-07-01,-11.941
2013-08-01,-42.9637
2013-09-01,-38.8459
2013-10-01,-22.2998
2013-11-01,-38.8125
2013-12-01,-33.63
2014-01-01,-37.3444
2014-02-01,-24.5098
2014-03-01,-33.4799
2014-04-01,-41.6736
2014-05-01,-47.9135
2014-06-01,-33.2063
2014-07-01,-37.1422
2014-08-01,-12.8056
2014-09-01,-26.4147
2014-10-01,-28.9584
2014-11-01,-8.6468
2014-12-01,-13.1026
2015-01-01,-24.1268
2015-02-01,-31.5184
2015-03-01,-33.2367
2015-04-01,-6.2956
2015-05-01,-20.9109
2015-06-01,-3.9245
2015-07-01,-8.9301
2015-08-01,-14.7028
2015-09-01,3.2701
2015-10-01,-8.685
2015-11-01,-12.8773
2015-12-01,-14.6146
2016-01-01,-3.2065
2016-02-01,20.0162
2016-03-01,2.4193
2016-04-01,-6.4517
2016-05-01,-4.5097
2016-06-01,-9.6225
2016-07-01,-13.3028
2016-08-01,-22.6008
2016-09-01,-22.4118
2016-10-01,-31.8087
2016-11-01,-24.7823
2016-12-01,-30.6846
2017-01-01,-53.9927
2017-02-01,-26.5473
2017-03-01,-22.4249
2017-04-01,-16.9277
2017-05-01,-0.4075
2017-06-01,3.6129
2017-07-01,37.0119
2017-08-01,10.5917
2017-09-01,-19.3433
2017-10-01,-1.9333
2017-11-01,-12.3974
2017-12-01,33.1927
2018-01-01,7.19
2018-02-01,87.8817
2018-03-01,17.0201
2018-04-01,13.4533
2018-05-01,3.9942
2018-06-01,5.5435
2018-07-01,4.4355
2018-08-01,15.0667
2018-09-01,36.9024
2018-10-01,38.5702
2018-11-01,27.6171
2018-12-01,10.6312
2019-01-01,28.116
2019-02-01,24.509
2019-03-01,1.086
2019-04-01,10.9443
2019-05-01,10.2577
2019-06-01,3.3015
2019-07-01,4.387
2019-08-01,4.276
2019-09-01,23.2319
2019-10-01,53.1356
2019-11-01,9.2717
2019-12-01,-1.5802
2020-01-01,-11.0363
2020-02-01,-8.1091
2020-03-01,88.8122
2020-04-01,2.4638
2020-05-01,-11.3719
2020-06-01,-4.6644
2020-07-01,6.2925
2020-08-01,-9.0341
2020-09-01,-10.7396
2020-10-01,-9.832
2020-11-01,3.1215
2020-12-01,5.6326
2021-01-01,-12.264
2021-02-01,-10.3299
2021-03-01,5.0428
2021-04-01,-0.4502
2021-05-01,-12.9385
2021-06-01,-12.9528
2021-07-01,-0.3278
2021-08-01,-6.0439
2021-09-01,-11.8067
2021-10-01,-8.6081
2021-11-01,-9.1217
2021-12-01,1.6607
2022-01-01,13.0633
2022-02-01,22.0868
2022-03-01,-15.2104
2022-04-01,-6.2113
2022-05-01,25.9148
2022-06-01,-1.7793
2022-07-01,-20.3778
2022-08-01,-12.8447
2022-09-01,-26.0275
2022-10-01,-21.832
2022-11-01,-30.1234
2022-12-01,-22.1236
2023-01-01,-36.6084
2023-02-01,-36.5068
2023-03-01,-17.0063
2023-04-01,-34.6957
2023-05-01,-22.727
2023-06-01,-36.8931
2023-07-01,-20.6656
2023-08-01,-25.4416
2023-09-01,-14.9255
2023-10-01,-28.9273
2023-11-01,-53.4876
2023-12-01,-34.1715
2024-01-01,-32.2519
2024-02-01,-23.5297
2024-03-01,-29.5078
2024-04-01,-21.7482
2024-05-01,-29.9098
2024-06-01,-2.2173
2024-07-01,-2.0708
2024-08-01,28.5817
2024-09-01,-5.7796
2024-10-01,7.1378
2024-11-01,-19.5837
2024-12-01,-23.6997
2025-01-01,-6.3578
2025-02-01,-10.2208
2025-03-01,-24.6377
2025-04-01,-7.6253
2025-05-01,-30.6123
2025-06-01,-21.6025
2025-07-01,6.9213
2025-08-01,-0.4819
2025-09-01,-10.0944
2025-10-01,-4.3135
2025-11-01,26.6395
2025-12-01,30.4862
2026-01-01,18.3619
2026-02-01,29.1321
2026-03-01,38.7466
2026-04-01,33.9183
2026-05-01,48.2201
2026-06-01,45.9377
