Date,INDIA_gpr
01/01/04,0.32
01/02/04,0.25
01/03/04,0.26
01/04/04,0.19
01/05/04,0.19
01/06/04,0.24
01/07/04,0.29
01/08/04,0.15
01/09/04,0.24
01/10/04,0.12
01/11/04,0.19
01/12/04,0.23
01/01/05,0.24
01/02/05,0.17
01/03/05,0.21
01/04/05,0.23
01/05/05,0.16
01/06/05,0.19
01/07/05,0.37
01/08/05,0.21
01/09/05,0.26
01/10/05,0.16
01/11/05,0.17
01/12/05,0.19
01/01/06,0.28
01/02/06,0.25
01/03/06,0.35
01/04/06,0.24
01/05/06,0.14
01/06/06,0.23
01/07/06,0.38
01/08/06,0.25
01/09/06,0.17
01/10/06,0.26
01/11/06,0.22
01/12/06,0.24
01/01/07,0.15
01/02/07,0.21
01/03/07,0.14
01/04/07,0.13
01/05/07,0.15
01/06/07,0.21
01/07/07,0.35
01/08/07,0.15
01/09/07,0.23
01/10/07,0.24
01/11/07,0.28
01/12/07,0.18
01/01/08,0.23
01/02/08,0.14
01/03/08,0.13
01/04/08,0.12
01/05/08,0.24
01/06/08,0.18
01/07/08,0.27
01/08/08,0.28
01/09/08,0.28
01/10/08,0.2
01/11/08,0.51
01/12/08,0.89
01/01/09,0.35
01/02/09,0.24
01/03/09,0.22
01/04/09,0.36
01/05/09,0.37
01/06/09,0.24
01/07/09,0.2
01/08/09,0.16
01/09/09,0.19
01/10/09,0.34
01/11/09,0.2
01/12/09,0.29
01/01/10,0.2
01/02/10,0.21
01/03/10,0.18
01/04/10,0.28
01/05/10,0.27
01/06/10,0.17
01/07/10,0.27
01/08/10,0.27
01/09/10,0.17
01/10/10,0.17
01/11/10,0.26
01/12/10,0.25
01/01/11,0.16
01/02/11,0.16
01/03/11,0.22
01/04/11,0.11
01/05/11,0.22
01/06/11,0.19
01/07/11,0.17
01/08/11,0.13
01/09/11,0.19
01/10/11,0.2
01/11/11,0.16
01/12/11,0.16
01/01/12,0.17
01/02/12,0.29
01/03/12,0.18
01/04/12,0.27
01/05/12,0.16
01/06/12,0.1
01/07/12,0.2
01/08/12,0.15
01/09/12,0.13
01/10/12,0.08
01/11/12,0.12
01/12/12,0.09
01/01/13,0.12
01/02/13,0.11
01/03/13,0.09
01/04/13,0.15
01/05/13,0.12
01/06/13,0.12
01/07/13,0.08
01/08/13,0.18
01/09/13,0.13
01/10/13,0.13
01/11/13,0.16
01/12/13,0.08
01/01/14,0.09
01/02/14,0.1
01/03/14,0.24
01/04/14,0.1
01/05/14,0.1
01/06/14,0.12
01/07/14,0.15
01/08/14,0.16
01/09/14,0.14
01/10/14,0.13
01/11/14,0.15
01/12/14,0.2
01/01/15,0.22
01/02/15,0.12
01/03/15,0.13
01/04/15,0.19
01/05/15,0.11
01/06/15,0.1
01/07/15,0.19
01/08/15,0.1
01/09/15,0.07
01/10/15,0.09
01/11/15,0.21
01/12/15,0.27
01/01/16,0.22
01/02/16,0.08
01/03/16,0.15
01/04/16,0.13
01/05/16,0.08
01/06/16,0.11
01/07/16,0.28
01/08/16,0.13
01/09/16,0.18
01/10/16,0.17
01/11/16,0.12
01/12/16,0.16
01/01/17,0.18
01/02/17,0.17
01/03/17,0.14
01/04/17,0.15
01/05/17,0.09
01/06/17,0.23
01/07/17,0.14
01/08/17,0.18
01/09/17,0.28
01/10/17,0.12
01/11/17,0.16
01/12/17,0.06
01/01/18,0.18
01/02/18,0.08
01/03/18,0.13
01/04/18,0.15
01/05/18,0.29
01/06/18,0.16
01/07/18,0.18
01/08/18,0.15
01/09/18,0.16
01/10/18,0.21
01/11/18,0.18
01/12/18,0.08
01/01/19,0.09
01/02/19,0.36
01/03/19,0.31
01/04/19,0.35
01/05/19,0.26
01/06/19,0.21
01/07/19,0.17
01/08/19,0.35
01/09/19,0.16
01/10/19,0.17
01/11/19,0.08
01/12/19,0.09
01/01/20,0.18
01/02/20,0.21
01/03/20,0.12
01/04/20,0.12
01/05/20,0.15
01/06/20,0.32
01/07/20,0.23
01/08/20,0.1
01/09/20,0.22
01/10/20,0.12
01/11/20,0.18
01/12/20,0.12
01/01/21,0.12
01/02/21,0.14
01/03/21,0.31
01/04/21,0.18
01/05/21,0.31
01/06/21,0.19
01/07/21,0.17
01/08/21,0.14
01/09/21,0.43
01/10/21,0.26
01/11/21,0.16
01/12/21,0.15
01/01/22,0.22
01/02/22,0.17
01/03/22,0.47
01/04/22,0.41
01/05/22,0.35
01/06/22,0.38
01/07/22,0.27
01/08/22,0.25
01/09/22,0.51
01/10/22,0.31
01/11/22,0.3
01/12/22,0.25
01/01/23,0.2
01/02/23,0.29
01/03/23,0.31
01/04/23,0.25
01/05/23,0.32
01/06/23,0.26
01/07/23,0.21
01/08/23,0.32
01/09/23,0.46
01/10/23,0.22
01/11/23,0.25
01/12/23,0.23
01/01/24,0.28
01/02/24,0.22
01/03/24,0.24
01/04/24,0.25
01/05/24,0.13
01/06/24,0.19
01/07/24,0.16
01/08/24,0.23
01/09/24,0.17
01/10/24,0.27
01/11/24,0.18
01/12/24,0.19
01/01/25,0.24
01/02/25,0.21
01/03/25,0.25
01/04/25,0.42
01/05/25,0.76
01/06/25,0.47
01/07/25,0.36
01/08/25,0.48
01/09/25,0.4
01/10/25,0.29
01/11/25,0.19
01/12/25,0.31
01/01/26,0.33
01/02/26,0.44
01/03/26,1
01/04/26,0.58
01/05/26,0.5
